external_tx_id,user_ref,occurred_at,amount,direction,category,description,currency
SYN-LARGE-00037,syn-user-0152,2025-04-22T07:47:20Z,33768.83,debit,Debt,Debt expense,LKR
SYN-LARGE-00038,syn-user-0030,2025-01-26T22:10:03Z,82986.68,debit,Travel,Travel expense,LKR
SYN-LARGE-00039,syn-user-0261,2025-02-11T08:43:55Z,10105.42,credit,Gift,Gift transaction,LKR
SYN-LARGE-00040,syn-user-0121,2025-07-26T07:39:05Z,4070.12,credit,Refund,Refund transaction,LKR
SYN-LARGE-00041,syn-user-0215,2025-12-03T14:13:42Z,30524.18,debit,Travel,Travel expense,LKR
SYN-LARGE-00042,syn-user-0161,2025-05-03T15:29:20Z,10567.82,debit,Transport,Transport expense,LKR
SYN-LARGE-00043,syn-user-0038,2025-01-05T08:34:13Z,44834.10,debit,Debt,Debt expense,LKR
SYN-LARGE-00044,syn-user-0260,2025-05-16T13:23:18Z,88682.10,credit,Bonus,Bonus transaction,LKR
SYN-LARGE-00045,syn-user-0081,2025-08-13T22:00:42Z,13767.57,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00046,syn-user-0284,2025-06-03T10:16:07Z,26473.25,debit,Food,Food expense,LKR
SYN-LARGE-00047,syn-user-0055,2026-01-16T12:45:21Z,6773.23,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00048,syn-user-0105,2025-12-18T14:57:58Z,11514.67,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00049,syn-user-0027,2025-02-17T16:49:08Z,1734.64,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00050,syn-user-0135,2025-03-24T06:07:04Z,64393.07,debit,Travel,Travel expense,LKR
SYN-LARGE-00051,syn-user-0077,2025-10-07T10:27:08Z,60338.41,credit,Bonus,Bonus transaction,LKR
SYN-LARGE-00052,syn-user-0022,2025-06-07T12:43:15Z,60249.46,debit,Housing,Housing expense,LKR
SYN-LARGE-00053,syn-user-0053,2025-07-01T10:59:59Z,29241.27,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00054,syn-user-0122,2025-03-25T06:11:47Z,13399.12,debit,Transport,Transport expense,LKR
SYN-LARGE-00055,syn-user-0171,2026-02-05T13:17:10Z,69804.80,debit,Savings,Savings expense,LKR
SYN-LARGE-00056,syn-user-0056,2025-07-15T20:22:19Z,9674.91,debit,Education,Education expense,LKR
SYN-LARGE-00057,syn-user-0117,2025-04-25T14:55:04Z,50823.59,credit,Freelance,Freelance transaction,LKR
SYN-LARGE-00058,syn-user-0143,2025-06-29T16:01:07Z,20866.82,credit,Other Income,Other Income transaction,LKR
SYN-LARGE-00059,syn-user-0134,2025-04-02T19:22:46Z,1611.05,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00060,syn-user-0161,2025-08-12T12:16:02Z,13061.18,debit,Travel,Travel expense,LKR
SYN-LARGE-00061,syn-user-0224,2025-01-01T12:23:27Z,62756.57,debit,Travel,Travel expense,LKR
SYN-LARGE-00062,syn-user-0036,2025-12-07T09:46:57Z,15841.41,debit,Debt,Debt expense,LKR
SYN-LARGE-00063,syn-user-0154,2025-09-17T15:35:08Z,10459.30,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00064,syn-user-0099,2025-08-04T11:39:36Z,20642.22,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00065,syn-user-0155,2025-07-27T12:27:50Z,32282.12,debit,Housing,Housing expense,LKR
SYN-LARGE-00066,syn-user-0297,2025-11-07T12:32:30Z,18229.65,debit,Education,Education expense,LKR
SYN-LARGE-00067,syn-user-0087,2025-12-04T16:05:52Z,10125.88,credit,Refund,Refund transaction,LKR
SYN-LARGE-00068,syn-user-0121,2025-12-11T07:15:30Z,3303.01,debit,Utilities,Utilities expense,LKR
SYN-LARGE-00069,syn-user-0038,2025-08-22T18:31:25Z,48175.32,debit,Savings,Savings expense,LKR
SYN-LARGE-00070,syn-user-0125,2025-03-17T09:49:27Z,59955.01,debit,Housing,Housing expense,LKR
SYN-LARGE-00071,syn-user-0113,2025-04-01T13:58:54Z,43415.84,debit,Travel,Travel expense,LKR
SYN-LARGE-00072,syn-user-0063,2025-08-22T16:48:57Z,20359.75,credit,Investment Income,Investment Income transaction,LKR
SYN-LARGE-00073,syn-user-0227,2025-11-10T20:57:10Z,40126.45,debit,Travel,Travel expense,LKR
SYN-LARGE-00074,syn-user-0244,2025-08-19T14:49:49Z,10366.60,debit,Utilities,Utilities expense,LKR
SYN-LARGE-00075,syn-user-0267,2025-09-06T15:15:17Z,10125.30,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00076,syn-user-0172,2025-06-13T13:24:44Z,6459.35,debit,Food,Food expense,LKR
SYN-LARGE-00077,syn-user-0079,2025-12-28T19:21:34Z,12386.32,credit,Freelance,Freelance transaction,LKR
SYN-LARGE-00078,syn-user-0239,2025-08-01T06:54:56Z,21587.03,credit,Gift,Gift transaction,LKR
SYN-LARGE-00079,syn-user-0295,2025-07-14T18:54:57Z,14279.23,debit,Shopping,Shopping expense,LKR
SYN-LARGE-00080,syn-user-0215,2025-10-03T13:31:14Z,72588.53,debit,Travel,Travel expense,LKR
SYN-LARGE-00081,syn-user-0140,2025-08-12T18:46:10Z,10747.76,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00082,syn-user-0240,2025-03-07T18:37:36Z,5346.08,debit,Travel,Travel expense,LKR
SYN-LARGE-00083,syn-user-0014,2025-02-12T11:03:16Z,13202.49,debit,Transport,Transport expense,LKR
SYN-LARGE-00084,syn-user-0195,2025-06-17T18:17:48Z,37062.55,credit,Bonus,Bonus transaction,LKR
SYN-LARGE-00085,syn-user-0216,2025-05-10T07:22:14Z,1755.95,debit,Education,Education expense,LKR
SYN-LARGE-00086,syn-user-0036,2026-02-04T13:12:53Z,53448.96,debit,Housing,Housing expense,LKR
SYN-LARGE-00087,syn-user-0011,2025-11-15T09:36:13Z,59459.52,credit,Freelance,Freelance transaction,LKR
SYN-LARGE-00088,syn-user-0239,2025-12-25T09:49:52Z,8549.16,debit,Shopping,Shopping expense,LKR
SYN-LARGE-00089,syn-user-0084,2025-06-09T18:25:45Z,329021.71,credit,Salary,Salary transaction,LKR
SYN-LARGE-00090,syn-user-0102,2025-02-08T15:54:43Z,23213.70,debit,Savings,Savings expense,LKR
SYN-LARGE-00091,syn-user-0062,2026-02-12T19:42:23Z,34318.58,debit,Housing,Housing expense,LKR
SYN-LARGE-00092,syn-user-0036,2025-09-17T21:06:27Z,57930.05,debit,Housing,Housing expense,LKR
SYN-LARGE-00093,syn-user-0186,2025-11-22T19:11:46Z,28585.04,debit,Education,Education expense,LKR
SYN-LARGE-00094,syn-user-0268,2025-11-30T20:27:52Z,70393.81,debit,Travel,Travel expense,LKR
SYN-LARGE-00095,syn-user-0138,2025-06-15T20:15:48Z,9973.21,debit,Food,Food expense,LKR
SYN-LARGE-00096,syn-user-0238,2025-10-19T16:01:31Z,10188.73,credit,Refund,Refund transaction,LKR
SYN-LARGE-00097,syn-user-0167,2025-04-04T16:17:56Z,36145.06,debit,Shopping,Shopping expense,LKR
SYN-LARGE-00098,syn-user-0142,2025-10-12T19:31:35Z,14845.49,credit,Freelance,Freelance transaction,LKR
SYN-LARGE-00099,syn-user-0124,2025-12-20T06:05:18Z,18478.81,debit,Education,Education expense,LKR
SYN-LARGE-00100,syn-user-0114,2025-07-27T17:30:35Z,14875.95,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00101,syn-user-0272,2025-06-26T20:17:19Z,31778.84,debit,Travel,Travel expense,LKR
SYN-LARGE-00102,syn-user-0129,2025-04-29T11:12:13Z,41288.01,credit,Freelance,Freelance transaction,LKR
SYN-LARGE-00103,syn-user-0248,2025-05-22T09:53:12Z,54920.79,debit,Travel,Travel expense,LKR
SYN-LARGE-00104,syn-user-0152,2025-04-27T10:17:02Z,1099.95,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00105,syn-user-0028,2025-10-11T21:06:55Z,10111.24,debit,Transport,Transport expense,LKR
SYN-LARGE-00106,syn-user-0007,2025-10-21T11:03:16Z,18178.28,debit,Education,Education expense,LKR
SYN-LARGE-00107,syn-user-0245,2025-02-28T07:09:09Z,15260.65,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00108,syn-user-0289,2025-06-05T19:38:38Z,18621.93,credit,Freelance,Freelance transaction,LKR
SYN-LARGE-00109,syn-user-0116,2026-02-02T15:55:37Z,36431.67,debit,Education,Education expense,LKR
SYN-LARGE-00110,syn-user-0220,2025-06-06T09:48:13Z,46652.65,debit,Housing,Housing expense,LKR
SYN-LARGE-00111,syn-user-0109,2025-05-16T08:10:00Z,4738.18,debit,Transport,Transport expense,LKR
SYN-LARGE-00112,syn-user-0210,2025-08-19T13:18:45Z,12359.11,debit,Education,Education expense,LKR
SYN-LARGE-00113,syn-user-0145,2025-12-26T14:50:50Z,20184.62,debit,Food,Food expense,LKR
SYN-LARGE-00114,syn-user-0102,2025-08-06T14:52:09Z,79477.99,credit,Freelance,Freelance transaction,LKR
SYN-LARGE-00115,syn-user-0037,2025-01-31T15:28:07Z,96152.29,credit,Freelance,Freelance transaction,LKR
SYN-LARGE-00116,syn-user-0240,2025-12-19T22:34:31Z,28337.61,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00117,syn-user-0225,2025-02-11T14:01:05Z,22301.48,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00118,syn-user-0118,2025-12-12T06:48:43Z,27452.72,debit,Debt,Debt expense,LKR
SYN-LARGE-00119,syn-user-0138,2025-10-23T22:41:28Z,9584.35,credit,Gift,Gift transaction,LKR
SYN-LARGE-00120,syn-user-0143,2025-04-03T21:05:30Z,19408.76,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00121,syn-user-0179,2025-07-29T11:21:26Z,12844.99,debit,Savings,Savings expense,LKR
SYN-LARGE-00122,syn-user-0254,2025-05-28T07:29:05Z,24593.42,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00123,syn-user-0162,2025-05-10T06:42:55Z,26082.41,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00124,syn-user-0278,2025-08-25T21:40:28Z,7088.08,debit,Utilities,Utilities expense,LKR
SYN-LARGE-00125,syn-user-0027,2025-04-15T20:56:44Z,14023.58,debit,Transport,Transport expense,LKR
SYN-LARGE-00126,syn-user-0249,2025-03-04T13:45:10Z,24746.00,credit,Other Income,Other Income transaction,LKR
SYN-LARGE-00127,syn-user-0160,2025-10-10T09:29:07Z,3703.07,credit,Investment Income,Investment Income transaction,LKR
SYN-LARGE-00128,syn-user-0079,2025-09-13T14:26:53Z,11588.09,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00129,syn-user-0248,2025-08-30T12:58:38Z,15583.85,debit,Travel,Travel expense,LKR
SYN-LARGE-00130,syn-user-0261,2026-01-18T19:21:59Z,9906.19,debit,Food,Food expense,LKR
SYN-LARGE-00131,syn-user-0260,2025-05-17T21:55:09Z,16192.28,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00132,syn-user-0229,2025-10-03T18:29:59Z,25373.98,debit,Shopping,Shopping expense,LKR
SYN-LARGE-00133,syn-user-0165,2025-04-07T13:54:49Z,7632.34,debit,Utilities,Utilities expense,LKR
SYN-LARGE-00134,syn-user-0211,2025-01-23T18:24:42Z,75746.99,credit,Bonus,Bonus transaction,LKR
SYN-LARGE-00135,syn-user-0078,2025-09-11T16:55:06Z,8280.93,debit,Transport,Transport expense,LKR
SYN-LARGE-00136,syn-user-0226,2025-02-21T10:26:55Z,1598.56,debit,Education,Education expense,LKR
SYN-LARGE-00137,syn-user-0080,2025-02-08T18:41:05Z,7977.50,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00138,syn-user-0169,2025-12-12T21:55:34Z,28670.05,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00139,syn-user-0019,2025-11-13T15:14:47Z,27691.58,credit,Other Income,Other Income transaction,LKR
SYN-LARGE-00140,syn-user-0047,2025-08-11T09:28:10Z,57791.81,debit,Savings,Savings expense,LKR
SYN-LARGE-00141,syn-user-0154,2025-01-15T17:23:27Z,3749.84,credit,Gift,Gift transaction,LKR
SYN-LARGE-00142,syn-user-0075,2025-05-06T11:10:11Z,31476.52,debit,Debt,Debt expense,LKR
SYN-LARGE-00143,syn-user-0041,2025-11-09T21:58:37Z,31533.22,debit,Debt,Debt expense,LKR
SYN-LARGE-00144,syn-user-0074,2025-04-29T06:57:51Z,10542.89,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00145,syn-user-0239,2025-05-28T17:37:19Z,2497.14,debit,Transport,Transport expense,LKR
SYN-LARGE-00146,syn-user-0218,2025-12-20T18:54:30Z,5023.40,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00147,syn-user-0055,2025-05-02T15:01:53Z,26376.76,debit,Shopping,Shopping expense,LKR
SYN-LARGE-00148,syn-user-0203,2025-05-21T07:58:38Z,34604.18,credit,Gift,Gift transaction,LKR
SYN-LARGE-00149,syn-user-0255,2026-03-03T13:38:51Z,17245.71,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00150,syn-user-0181,2025-04-23T10:40:06Z,13151.64,debit,Debt,Debt expense,LKR
SYN-LARGE-00151,syn-user-0021,2025-06-08T10:05:58Z,45239.97,debit,Housing,Housing expense,LKR
SYN-LARGE-00152,syn-user-0152,2025-06-17T17:33:32Z,4210.73,debit,Transport,Transport expense,LKR
SYN-LARGE-00153,syn-user-0140,2026-03-02T21:51:18Z,34551.56,credit,Freelance,Freelance transaction,LKR
SYN-LARGE-00154,syn-user-0174,2026-02-16T13:55:43Z,96523.32,credit,Salary,Salary transaction,LKR
SYN-LARGE-00155,syn-user-0204,2026-02-16T06:16:34Z,22767.05,debit,Food,Food expense,LKR
SYN-LARGE-00156,syn-user-0064,2025-08-21T18:52:40Z,24662.11,debit,Savings,Savings expense,LKR
SYN-LARGE-00157,syn-user-0191,2025-02-25T16:58:39Z,1975.96,debit,Education,Education expense,LKR
SYN-LARGE-00158,syn-user-0114,2025-11-28T15:41:26Z,23749.11,credit,Gift,Gift transaction,LKR
SYN-LARGE-00159,syn-user-0060,2025-03-13T21:07:06Z,144787.55,credit,Salary,Salary transaction,LKR
SYN-LARGE-00160,syn-user-0121,2025-10-03T19:37:47Z,11759.33,credit,Investment Income,Investment Income transaction,LKR
SYN-LARGE-00161,syn-user-0080,2025-08-01T14:02:44Z,25010.44,debit,Education,Education expense,LKR
SYN-LARGE-00162,syn-user-0190,2025-04-22T09:43:23Z,10525.59,debit,Utilities,Utilities expense,LKR
SYN-LARGE-00163,syn-user-0279,2025-11-27T09:54:52Z,9000.56,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00164,syn-user-0233,2025-02-16T06:03:50Z,52961.97,debit,Savings,Savings expense,LKR
SYN-LARGE-00165,syn-user-0171,2025-05-05T12:37:13Z,11221.24,debit,Debt,Debt expense,LKR
SYN-LARGE-00166,syn-user-0120,2025-06-18T10:08:34Z,2620.51,debit,Debt,Debt expense,LKR
SYN-LARGE-00167,syn-user-0129,2026-02-13T10:00:22Z,34791.47,credit,Other Income,Other Income transaction,LKR
SYN-LARGE-00168,syn-user-0122,2025-10-29T10:47:26Z,5082.46,debit,Transport,Transport expense,LKR
SYN-LARGE-00169,syn-user-0270,2025-02-28T17:32:37Z,18482.73,debit,Education,Education expense,LKR
SYN-LARGE-00170,syn-user-0056,2025-08-20T22:19:29Z,4343.01,debit,Debt,Debt expense,LKR
SYN-LARGE-00171,syn-user-0016,2025-02-01T09:31:45Z,13361.93,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00172,syn-user-0228,2025-02-07T10:04:08Z,150022.99,credit,Salary,Salary transaction,LKR
SYN-LARGE-00173,syn-user-0141,2025-11-16T18:38:33Z,64957.29,debit,Travel,Travel expense,LKR
SYN-LARGE-00174,syn-user-0151,2025-08-21T09:54:41Z,3876.18,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00175,syn-user-0283,2026-01-05T13:26:21Z,14095.09,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00176,syn-user-0233,2025-07-24T16:42:16Z,10813.71,debit,Food,Food expense,LKR
SYN-LARGE-00177,syn-user-0192,2025-03-20T08:05:27Z,3618.20,debit,Education,Education expense,LKR
SYN-LARGE-00178,syn-user-0050,2026-01-17T16:42:07Z,9011.00,debit,Transport,Transport expense,LKR
SYN-LARGE-00179,syn-user-0211,2025-07-01T07:18:38Z,26174.67,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00180,syn-user-0160,2025-06-30T21:14:54Z,3584.71,credit,Refund,Refund transaction,LKR
SYN-LARGE-00181,syn-user-0056,2025-06-29T14:36:14Z,6231.98,debit,Shopping,Shopping expense,LKR
SYN-LARGE-00182,syn-user-0220,2025-10-15T06:38:59Z,28576.86,debit,Debt,Debt expense,LKR
SYN-LARGE-00183,syn-user-0137,2025-01-15T16:22:00Z,30733.97,credit,Other Income,Other Income transaction,LKR
SYN-LARGE-00184,syn-user-0093,2025-03-15T06:05:47Z,3017.98,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00185,syn-user-0272,2025-04-21T17:19:46Z,14294.94,debit,Education,Education expense,LKR
SYN-LARGE-00186,syn-user-0167,2026-02-02T07:09:10Z,6110.67,debit,Debt,Debt expense,LKR
SYN-LARGE-00187,syn-user-0026,2025-12-12T21:38:28Z,20196.22,credit,Investment Income,Investment Income transaction,LKR
SYN-LARGE-00188,syn-user-0213,2025-05-20T19:07:18Z,2150.35,credit,Refund,Refund transaction,LKR
SYN-LARGE-00189,syn-user-0250,2025-09-27T07:00:13Z,28364.37,debit,Housing,Housing expense,LKR
SYN-LARGE-00190,syn-user-0155,2025-04-19T09:00:31Z,6936.28,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00191,syn-user-0221,2025-03-31T13:32:35Z,48723.86,credit,Freelance,Freelance transaction,LKR
SYN-LARGE-00192,syn-user-0182,2025-02-06T20:58:04Z,38502.32,debit,Housing,Housing expense,LKR
SYN-LARGE-00193,syn-user-0161,2025-10-22T19:18:07Z,21575.47,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00194,syn-user-0208,2025-01-11T20:53:44Z,12317.85,debit,Transport,Transport expense,LKR
SYN-LARGE-00195,syn-user-0186,2025-02-15T18:33:05Z,9082.91,debit,Food,Food expense,LKR
SYN-LARGE-00196,syn-user-0203,2025-06-08T11:04:32Z,5197.30,debit,Utilities,Utilities expense,LKR
SYN-LARGE-00197,syn-user-0059,2025-09-29T10:15:06Z,16578.17,debit,Shopping,Shopping expense,LKR
SYN-LARGE-00198,syn-user-0075,2025-05-12T08:11:49Z,2716.61,credit,Refund,Refund transaction,LKR
SYN-LARGE-00199,syn-user-0253,2025-08-26T16:55:40Z,21578.47,debit,Debt,Debt expense,LKR
SYN-LARGE-00200,syn-user-0162,2025-03-19T15:50:17Z,18246.11,debit,Education,Education expense,LKR
SYN-LARGE-00201,syn-user-0029,2025-06-30T07:03:23Z,10588.94,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00202,syn-user-0147,2025-02-09T22:24:29Z,18375.21,debit,Food,Food expense,LKR
SYN-LARGE-00203,syn-user-0298,2025-10-11T12:20:38Z,39137.48,debit,Housing,Housing expense,LKR
SYN-LARGE-00204,syn-user-0244,2025-09-14T16:45:05Z,187904.32,credit,Salary,Salary transaction,LKR
SYN-LARGE-00205,syn-user-0259,2025-11-27T20:33:33Z,86376.50,credit,Freelance,Freelance transaction,LKR
SYN-LARGE-00206,syn-user-0082,2025-07-06T16:43:38Z,9013.23,debit,Healthcare,Healthcare expense,LKR
SYN-LARGE-00207,syn-user-0027,2026-02-09T09:35:43Z,4086.94,debit,Shopping,Shopping expense,LKR
SYN-LARGE-00208,syn-user-0198,2025-05-26T10:21:05Z,77330.75,debit,Savings,Savings expense,LKR
SYN-LARGE-00209,syn-user-0299,2025-12-06T18:08:38Z,34472.02,credit,Bonus,Bonus transaction,LKR
SYN-LARGE-00210,syn-user-0044,2025-06-08T16:52:08Z,5961.85,credit,Refund,Refund transaction,LKR
SYN-LARGE-00211,syn-user-0270,2025-02-17T06:23:19Z,15746.17,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00212,syn-user-0093,2025-04-20T10:09:04Z,8488.20,debit,Education,Education expense,LKR
SYN-LARGE-00213,syn-user-0152,2026-02-08T22:02:42Z,27448.77,credit,Gift,Gift transaction,LKR
SYN-LARGE-00214,syn-user-0173,2026-01-28T11:11:53Z,18510.59,debit,Debt,Debt expense,LKR
SYN-LARGE-00215,syn-user-0085,2026-01-05T13:28:39Z,11564.68,debit,Entertainment,Entertainment expense,LKR
SYN-LARGE-00216,syn-user-0146,2026-01-21T13:19:51Z,10126.11,debit,Education,Education expense,LKR
SYN-LARGE-00217,syn-user-0241,2026-03-04T20:29:49Z,37938.08,credit,Other Income,Other Income transaction,LKR
SYN-LARGE-00218,syn-user-0145,2026-02-03T11:52:12Z,39423.49,debit,Travel,Travel expense,LKR
SYN-LARGE-00219,syn-user-0071,2025-05-09T09:45:54Z,26349.39,credit,Investment Income,Investment Income transaction,LKR
SYN-LARGE-00220,syn-user-0265,2025-03-05T22:09:53Z,5182.68,debit,Transport,Transport expense,LKR
SYN-LARGE-00221,syn-user-0224,2025-02-16T17:59:01Z,10130.37,debit,Utilities,Utilities expense,LKR
SYN-LARGE-00222,syn-user-0213,2025-01-28T08:23:14Z,11527.08,debit,Shopping,Shopping expense,LKR
SYN-LARGE-00223,syn-user-0015,2025-06-13T10:08:02Z,30146.78,debit,Savings,Savings expense,LKR
SYN-LARGE-00224,syn-user-0147,2026-03-01T21:28:39Z,11744.36,debit,Transport,Transport expense,LKR
SYN-LARGE-00225,syn-user-0003,2025-02-10T22:27:07Z,101020.76,credit,Freelance,Freelance transaction,LKR
SYN-LARGE-00226,syn-user-0148,2025-05-02T20:04:07Z,29206.66,debit,Housing,Housing expense,LKR
SYN-LARGE-00227,syn-user-0256,2025-11-02T13:45:09Z,43653.18,debit,Savings,Savings expense,LKR
SYN-LARGE-00228,syn-user-0150,2025-08-08T19:11:42Z,27853.60,credit,Bonus,Bonus transaction,LKR
SYN-LARGE-00229,syn-user-0044,2025-09-26T22:34:32Z,11429.54,credit,Bonus,Bonus transaction,LKR
SYN-LARGE-00230,syn-user-0260,2025-10-11T18:23:16Z,24036.62,credit,Gift,Gift transaction,LKR
SYN-LARGE-00231,syn-user-0009,2025-07-02T09:49:37Z,11761.32,debit,Shopping,Shopping expense,LKR
SYN-LARGE-00232,syn-user-0171,2025-03-10T11:53:49Z,5408.94,credit,Refund,Refund transaction,LKR
SYN-LARGE-00233,syn-user-0238,2025-12-23T08:45:49Z,12455.22,debit,Transport,Transport expense,LKR
SYN-LARGE-00234,syn-user-0235,2025-01-19T07:20:59Z,55182.13,debit,Housing,Housing expense,LKR
SYN-LARGE-00235,syn-user-0159,2025-09-21T07:48:41Z,44185.78,debit,Travel,Travel expense,LKR
SYN-LARGE-00236,syn-user-0098,2025-05-27T16:17:07Z,58692.52,debit,Housing,Housing expense,LKR
SYN-LARGE-00237,syn-user-0189,2025-08-12T18:21:11Z,35890.86,debit,Education,Education expense,LKR
SYN-LARGE-00238,syn-user-0255,2025-12-21T08:46:27Z,26204.70,debit,Travel,Travel expense,LKR
SYN-LARGE-00239,syn-user-0041,2025-08-09T16:06:05Z,8863.90,debit,Transport,Transport expense,LKR
